GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi Coverage Project/jacoco-multi,market.domain,Order,153,44,24,0,24,15,21,12,9,12
jacoco-multi Coverage Project/jacoco-multi,market.domain,Cart.Builder,0,77,0,0,0,22,0,6,0,6
jacoco-multi Coverage Project/jacoco-multi,market.domain,Region,23,106,7,9,10,20,12,10,5,9
jacoco-multi Coverage Project/jacoco-multi,market.domain,OrderedProduct,68,42,12,0,9,14,9,8,3,8
jacoco-multi Coverage Project/jacoco-multi,market.domain,Role,29,0,0,0,11,0,7,0,7,0
jacoco-multi Coverage Project/jacoco-multi,market.domain,Region.Builder,0,77,0,0,0,26,0,8,0,8
jacoco-multi Coverage Project/jacoco-multi,market.domain,Product,41,151,12,12,18,23,21,12,9,12
jacoco-multi Coverage Project/jacoco-multi,market.domain,UserAccount,87,90,11,11,18,20,22,8,11,8
jacoco-multi Coverage Project/jacoco-multi,market.domain,OrderedProductId,61,11,12,0,10,5,10,3,4,3
jacoco-multi Coverage Project/jacoco-multi,market.domain,Contacts.Builder,10,67,0,0,4,22,2,6,2,6
jacoco-multi Coverage Project/jacoco-multi,market.domain,Distillery,21,79,7,7,8,13,11,7,4,7
jacoco-multi Coverage Project/jacoco-multi,market.domain,CartItemId,63,12,10,0,11,6,11,2,6,2
jacoco-multi Coverage Project/jacoco-multi,market.domain,Distillery.Builder,0,64,0,0,0,22,0,7,0,7
jacoco-multi Coverage Project/jacoco-multi,market.domain,Contacts,65,57,7,7,16,15,15,6,8,6
jacoco-multi Coverage Project/jacoco-multi,market.domain,Bill.Builder,5,70,0,0,2,23,1,8,1,8
jacoco-multi Coverage Project/jacoco-multi,market.exception,CustomNotValidException,61,0,0,0,10,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.exception,EmailExistsException,7,0,0,0,2,0,1,0,1,0
jacoco-multi Coverage Project/jacoco-multi,market.exception,EmptyCartException,6,0,0,0,2,0,1,0,1,0
jacoco-multi Coverage Project/jacoco-multi,market.exception,UnknownEntityException,25,0,0,0,8,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,DistilleryServiceImpl,86,0,4,0,24,0,11,0,9,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,OrderServiceImpl,259,0,16,0,66,0,19,0,11,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,RegionServiceImpl,67,0,2,0,17,0,8,0,7,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,ContactsServiceImpl,47,0,2,0,13,0,4,0,3,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,ProductServiceImpl,190,0,10,0,46,0,20,0,15,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,CartServiceImpl,158,0,12,0,33,0,15,0,9,0
jacoco-multi Coverage Project/jacoco-multi,market.service.impl,UserAccountServiceImpl,46,0,2,0,12,0,4,0,3,0
jacoco-multi Coverage Project/jacoco-multi,market.rest,CartRestController,167,0,2,0,31,0,9,0,8,0
jacoco-multi Coverage Project/jacoco-multi,market.rest,OrdersRestController,54,0,0,0,11,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.rest,ProductsRestController,89,0,0,0,17,0,6,0,6,0
jacoco-multi Coverage Project/jacoco-multi,market.rest,CustomerRestController,68,0,0,0,15,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.rest,ContactsRestController,53,0,0,0,13,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.properties,PaginationProperties.Builder,21,0,0,0,6,0,4,0,4,0
jacoco-multi Coverage Project/jacoco-multi,market.properties,MarketProperties,0,9,0,0,0,4,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.properties,PaginationProperties,0,15,0,0,0,6,0,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.controller.frontend,CheckoutController,15,252,4,8,7,53,4,8,0,6
jacoco-multi Coverage Project/jacoco-multi,market.controller.frontend,ShowcaseController,0,139,0,2,0,28,0,3,0,2
jacoco-multi Coverage Project/jacoco-multi,market.controller.frontend,FrontendController,4,40,0,0,2,11,2,3,2,3
jacoco-multi Coverage Project/jacoco-multi,market.controller.frontend,CartController,147,189,12,8,36,44,13,10,3,10
jacoco-multi Coverage Project/jacoco-multi,market.controller.frontend,CustomerController,14,225,4,6,6,51,4,7,0,6
jacoco-multi Coverage Project/jacoco-multi,market.sorting,OrderSorting,0,93,0,0,0,19,0,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.sorting,SortingValuesDTO,4,27,0,0,2,11,1,8,1,8
jacoco-multi Coverage Project/jacoco-multi,market.sorting,StorageSorting,0,54,0,0,0,12,0,3,0,3
jacoco-multi Coverage Project/jacoco-multi,market.sorting,AbstractSorter,6,271,1,7,1,56,1,21,0,18
jacoco-multi Coverage Project/jacoco-multi,market.sorting,ProductSorting,0,21,0,0,0,5,0,1,0,1
jacoco-multi Coverage Project/jacoco-multi,market.sorting,ProductBackendSorting,0,27,0,0,0,7,0,2,0,2
jacoco-multi Coverage Project/jacoco-multi,market.interceptors,SessionCartInterceptor,0,23,1,1,0,5,1,2,0,2
